area,perimeter,eccentricity,solidity,extent,circularity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_b,mean_g,mean_r,contrast,homogeneity,energy,correlation
90018.0,1642.621499812309,0.24766474242128442,0.9310826325751699,0.7327830419068087,0.4192414533993128,3.1856816684941416,9.279273890435967,9.992127905151566,9.998495500503584,9.999999999999998,9.99999999073196,-10.0,92.42052700570997,195.88556733097826,173.75985913928326,294.3614941548473,0.6759738889574056,0.40673626543661223,0.9820910052284066
83162.0,1355.4671708797582,0.2037094853972769,0.9263896624707586,0.6864609644561108,0.5687963257176857,3.196693156046636,9.55056435223968,9.995934017102213,9.999686605649334,-10.0,-9.999999995919238,-10.0,73.6596762944614,75.05967869940598,188.0572136312258,214.60523382479607,0.6608036423935126,0.47106716631024287,0.9724767765589695
69696.0,1061.1757569573601,0.3243454847075937,0.9662285809349526,0.7397705199919332,0.7777554771887565,3.2017909939718545,8.880384686103845,9.990856288022963,9.999951482153156,-10.0,-9.999999998718938,10.0,106.24291207529843,121.94988234618917,230.9501693067034,188.47647211484616,0.6997615495432705,0.5221081543508855,0.9845940421056976
48646.0,1136.2468247692254,0.5615368700142735,0.9020378645997515,0.6801163213376954,0.4734908973389978,3.175975502100979,7.804692131613995,9.93591530003991,9.990575806156285,9.999999999999945,9.999998818551418,-9.999999999999991,79.97958722197097,179.05184393372528,184.8577683673889,308.596589991929,0.7825839147443554,0.5065097898291457,0.9809455174886711
48437.0,1136.832611206852,0.5624631182099499,0.9026144643422842,0.6796839919173776,0.47097087848111563,3.1755167652253125,7.800402026662547,9.93409451554629,9.990178383953761,9.99999999999994,9.999998760363226,-9.99999999999999,80.93606127547123,176.87381547164358,154.0305757994921,307.8124972670427,0.7608778602743203,0.4675912096433065,0.9786328744684349
65286.0,957.1757569573599,0.32851253935261243,0.9940920303316381,0.7794970986460348,0.8954607280662694,3.2038884806655825,8.862585785711167,9.999208510697104,9.99999925498538,10.0,9.99999999998098,-10.0,78.26702508960574,199.53133903133903,157.21839291731766,205.0203755067207,0.7324998006606365,0.41831042267956864,0.9864066832080498
62567.0,1045.6610383315985,0.15004796550788072,0.9551047200341943,0.7627703411113549,0.7190735976028783,3.2005439098737947,9.819655820944796,9.98041418082618,9.999960098549195,-10.0,9.999999999937527,10.0,92.15858200009589,200.31396742691834,172.3341058385411,230.48341291585126,0.8106896957271319,0.5084749727730843,0.9862869239774971
75420.0,1447.2834046956846,0.671694031229449,0.8919743595808596,0.6924602445921628,0.45246941440730526,3.1483774695588735,7.367062596657635,9.836187555224397,9.971125829375056,9.99999999999947,9.999993833638117,9.999999999999973,35.105635110050386,51.042163882259345,123.79203129143464,191.91688421052638,0.7741095944532197,0.46939907366116,0.9572214899842632
73730.0,1358.9818895055196,0.6753498788407275,0.9100222167366082,0.6598117124856816,0.5016799675178937,3.158151101450892,7.3743971213163775,9.883180660032158,9.978829118491358,9.999999999999732,9.999995788003963,-9.999999999999975,107.1434287264343,195.1327682083277,221.51978841719787,308.0049279538905,0.7256197441110726,0.466325299487775,0.9843092713511885
130555.0,1452.6803743153546,0.3316094257599146,0.9753683172459134,0.7567089781487277,0.777433471251225,3.201816911946417,8.842727155365242,9.988603408855612,9.999953969593545,10.0,9.999999998341487,-10.0,80.24601891922944,184.72739458465782,161.02150817663053,181.97830420338005,0.6597547335683279,0.37010437858342643,0.9875627683435941
